Dataset,TaggedPitchType,PitcherThrows,RelSpeed_Mean,RelSpeed_Median,RelSpeed_Std,SpinRate_Mean,SpinRate_Median,SpinRate_Std,IVB_Mean,IVB_Median,IVB_Std,HB_Mean,HB_Median,HB_Std,Extension_Mean,Extension_Median,Extension_Std,RelHeight_Mean,RelHeight_Median,RelHeight_Std,VAA_Mean,VAA_Median,VAA_Std,HAA_Mean,HAA_Median,HAA_Std
SEC,Fastball,Right,93.50411812025317,93.553523,2.458501580716223,2362.74778317231,2363.536396,152.23674926550407,18.746301001582278,19.6379045,3.675317184384329,13.685638716772154,13.787464500000002,4.453184258101196,6.223912819620253,6.199467,0.4746554333853821,6.038271537974683,6.081372,0.5033736773634633,-4.056343859810126,-4.003516599999999,0.625449320515567,0.3239104615506331,0.435951,0.7653422223072257
SEC,Fastball,Left,91.69194708550185,91.72185,2.2517070927365412,2314.137488603346,2312.0730173,149.64153063856753,18.593098583643126,18.987903,3.3980645570698584,-7.501166944237918,-7.985099999999999,4.353383371675508,6.195754706319702,6.197312,0.4843656588504163,5.985254074349443,6.022336,0.4460494020943956,-4.198500758736059,-4.1707106,0.5855015943546144,2.2173750762081785,2.1709675,0.8397977223315269
SEC,Slider,Right,83.71849988157894,83.967413,3.1487160783234827,2533.3967547777966,2543.4740792,236.33671563094046,3.8430109523026323,4.177415,4.382510337385626,-3.530714388157894,-2.9735050000000003,5.489447376006924,5.79794884375,5.7665,0.4664655815138341,5.908008524671052,5.934098499999999,0.5136850563418986,-6.692367938980262,-6.60618245,0.9691102258294656,-1.8549540981907897,-1.806402,1.110548087224065
SEC,Slider,Left,81.94706937065638,81.783332,2.972692101246435,2458.9072606150576,2450.2894794999997,231.85668519541898,4.3222434054054055,4.221172,4.375212915400074,10.229993150579151,9.909177999999999,5.381855659497252,5.836292019305019,5.86251,0.49998251508465175,5.852468706563705,5.8951459999999996,0.4398580755377611,-6.781244442857142,-6.6611683,0.951833598537453,4.309554223938224,4.2597014,1.2949857150031614
SEC,ChangeUp,Right,85.46676705410447,85.729674,3.037417649268931,1962.2017329330226,1971.1555416,314.0062158967969,10.561789427238807,11.0491785,4.677441813197897,16.02618819216418,16.9408795,4.9679405152533205,6.144099774253732,6.15297,0.4978309800009371,5.801318593283582,5.8533635,0.5410064197473842,-5.976049491044776,-5.9240577,0.9146142808770583,0.6123875197761195,0.7586874499999999,1.054948095362438
SEC,ChangeUp,Left,83.59260583122364,83.87401799999999,2.696930594710567,1936.2140138143461,1930.6817303999999,274.5388455791124,11.910706198312235,12.026292999999999,3.9724205670572093,-7.798582097046414,-9.80867,6.666771734310177,6.2270330548523205,6.256034,0.5379203277974012,5.805852421940928,5.80524,0.4334848660111052,-5.960297362869198,-5.8998871,0.8671459356215787,1.8315901181434602,1.8666464000000003,1.1037789835894516
SEC,Curveball,Right,80.55806107746479,80.58062699999999,3.082809680295195,2522.9242788779347,2519.3112878,275.8045977567446,-4.011925577464789,-4.196348499999999,5.248293532336567,-5.698945119718309,-5.7446365,5.326007161823492,5.652423657276994,5.633391,0.4745812148415125,5.996194253521127,6.065752,0.4823367176381067,-7.831219641314553,-7.8036749,1.0292490085823571,-1.6355342147887322,-1.5515849,1.0673271436377558
SEC,Curveball,Left,78.91112554404145,78.8881,3.190930194941149,2459.2071436357514,2449.7874793,275.59720525692103,-3.04024907253886,-3.39664,5.979632779300449,11.140809036269431,11.768457000000001,5.795071644306357,5.671366450777202,5.644759,0.48253107545323004,5.881126922279792,5.9131979999999995,0.46830448534390734,-7.914566100000001,-7.8487098,1.0485643297664367,3.8320188963730573,3.8930396,1.3072359528819495
SEC,Sinker,Right,92.28170790035587,92.810535,3.772867479774426,2293.5592441790036,2287.13833,174.8074404107867,12.030068864768683,12.604865,4.199484715025597,16.684449505338076,18.26096,6.370263893058679,6.0890975836298935,6.093902,0.48060844211485215,5.717180743772242,5.76569,0.5697703841959831,-5.07747240391459,-4.871797099999999,1.1026261660362635,0.3238773925266905,0.4869268000000004,1.1361693821419228
SEC,Sinker,Left,90.62857015942029,90.915109,3.4027709356638947,2243.862253091305,2267.4352705,160.98209652278743,12.803228398550724,13.324105,4.1659807615206415,-11.015673311594202,-12.854043,7.011818601663841,6.102348108695653,6.067360000000001,0.5092113543492652,5.785258434782608,5.786105,0.4162963498939878,-5.161630757971015,-4.921809,1.2137923603984573,1.7770168427536235,1.7019981000000004,1.2180588669640755
SEC,Cutter,Right,87.4679920609319,87.55185399999999,3.1355204328990873,2457.099932116846,2468.9204219,228.55360344572338,8.859203211469534,8.811801,4.275127715541303,1.4476358709677424,0.817731,4.344502415508576,5.949836874551972,5.954856,0.46942301429490596,5.913606652329749,5.943668,0.4457876731506763,-6.017015695698925,-5.8750944,1.1006118138535332,-1.5558372774193547,-1.5534317999999998,0.9838082224255275
SEC,Cutter,Left,85.28509615887849,85.55483199999999,3.5439225525662468,2356.3045697345797,2366.5289402000003,213.0255003786911,8.183032878504672,8.77106,5.3227371864263535,3.3765066168224305,4.00603,5.081647852937656,5.88004376635514,5.893566,0.5013054451802565,5.756567373831775,5.798666000000001,0.4526202555366952,-6.206437395327102,-5.925154,1.2047816754150131,3.451978713084112,3.6117696,1.3115430847779648
SEC,FourSeamFastBall,Right,93.36668104848485,93.467032,2.594305715556591,2342.0301662066668,2348.7510515999998,149.78097454120862,18.72085849090909,19.634611,4.344846028583302,12.64406618181818,12.78081,4.300191729000636,6.111626351515151,6.146566,0.5156722253065327,6.018976763636363,6.092614,0.5215092416938396,-4.162609582424243,-4.023555,0.7700333340502077,0.03266199575757582,0.1166462,0.8222642684828532
SEC,FourSeamFastBall,Left,91.13570232467531,91.33624200000001,2.4721398172412132,2247.0800571545456,2267.837856,177.9819916628207,18.530424207792212,18.50466,3.4242350849738856,-8.657875402597401,-8.727926,4.02238152760529,6.055321233766234,6.076916000000001,0.4870959421051422,5.900163610389612,5.906985000000001,0.44345694356174076,-4.3116311844155835,-4.2648885,0.6960958047268778,2.0470462532467533,1.9822362000000002,0.907334815362641
SEC,TwoSeamFastBall,Right,91.02460997142855,91.15332,3.3021189911317634,2287.78857264,2288.7751908,162.54413954623516,11.644925599999999,11.765979,4.439785053138246,14.706157428571428,16.50052,6.780299452298638,5.904909885714285,6.019772000000001,0.4941471125049862,5.749297371428571,5.650443,0.42689078806197767,-5.438478714285714,-5.3222824,1.229184192110534,0.026215577142857223,-0.16179359999999998,1.313930101652714
SEC,TwoSeamFastBall,Left,89.2391499,88.75637549999999,2.5803561439174034,2220.88885081,2221.82143835,205.21998985894783,15.024161700000002,15.0858435,2.8029438466148777,-12.195849299999999,-14.763431,5.351767971902632,5.9113637,5.947905,0.6212546772878335,5.8795294,5.911235,0.4001383340134258,-5.88422078,-5.9102888,0.8082949952161264,1.72015986,1.8220130499999998,0.8577082394688827
SEC,Splitter,Right,85.27846862962964,85.75061,3.8813530192787087,1898.8209627592591,1837.4251875999998,617.1521867450983,7.3261506296296295,7.713787,5.848657615999102,7.754663308641978,10.00973,8.285853736630337,5.9123704814814815,5.872622,0.4781321636509187,5.965764432098766,6.06363,0.6161433337127933,-6.499927528395063,-6.302689,1.3180222739395377,-0.4016408888888888,-0.048860799999999954,1.8588194551491326
SEC,Splitter,Left,85.18117823529413,84.1509,3.96682702879037,1532.500184064706,1445.9468487,428.03728219656415,6.920609882352941,7.98309,7.4099772950637215,-6.835250823529412,-7.98264,6.152850373893036,5.867348823529412,5.89525,0.3633082688444258,5.9358834705882355,5.812336,0.49098461653643055,-7.025898347058824,-6.1724398,1.955055561412394,1.7248734764705882,1.589695,1.740980655835013
